Movie Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spider-Man: Homecoming,23,4.5,Spider-Man: Far From Home,24,4,,,,The Woman in the Window,15,3,Road to Perdition,15,4,Luca,18,3.5,"Batman: The Long Halloween, Part 1",12,3,Rush Hour,19,4.5,,,,Only God Forgives,5,0.5,Spider-Man: No Way Home,18,5
,,,Thor: Ragnarok,24,4,Zack Snyder's Justice League,27,3,,,,The Trial of the Chicago 7,16,4.5,In the Heights,19,4,Fear Street: 1666,19,3,TENET (rewatch),15,4.5,Venom,26,2,,,,Dirty Rotten Scoundrels,6,3.5,The French Dispatch,19,3.5
,,,Black Panther,25,3,Justice League: The Flashpoint Paradox,28,3.5,,,,Andhadhun,16,4.5,Grown Ups,20,2.5,Speed,20,3.5,Beckett,16,2.5,Midnight Run,30,3.5,,,,Batman Begins,8,4,F9,20,1
,,,The Cabin in the Woods,26,4,,,,,,,Nobody,17,3.5,Bad Education,24,3.5,Polytechnique,21,4,"Batman: The Long Halloween, Part 2",16,3.5,,,,,,,The Dark Knight,10,5,Nightmare Alley,21,3.5
,,,,,,,,,,,,Kabhi Khushi Khabhie Gham,26,5,The Karate Kid (1984),25,3.5,Another Round,22,5,Gangster Squad,16,2,,,,,,,Eternals,13,3,No Time to Die,23,4
,,,,,,,,,,,,,,,,,,Pineapple Express,29,2.5,The Manchurian Candidate,19,5,,,,,,,Snatch,14,3.5,The Matrix Resurrections,24,2
,,,,,,,,,,,,,,,,,,,,,The Green Knight,19,4.5,,,,,,,The Dark Knight Rises,17,5,Don't Look Up,24,3.5
,,,,,,,,,,,,,,,,,,,,,21 Jump Street,19,4,,,,,,,Last Night in Soho,20,3,No Sudden Move,24,3
,,,,,,,,,,,,,,,,,,,,,22 Jump Street,24,4,,,,,,,"tick, tick...BOOM!",21,4,Candyman,25,2.5
,,,,,,,,,,,,,,,,,,,,,Spider-Man,29,3.5,,,,,,,The Card Counter,22,1,Candyman,25,3
,,,,,,,,,,,,,,,,,,,,,Spider-Man 2,30,4.5,,,,,,,A Serious Man,22,3.5,The Mitchells vs. the Machines,26,4
,,,,,,,,,,,,,,,,,,,,,The Birds,31,3.5,,,,,,,Gangs of New York,24,1.5,King Richard,27,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venom: Let There Be Carnage,25,1,Malcolm & Marie,27,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Wrong Man,25,3.5,The Little Things,28,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casablanca,27,5,Licorice Pizza,29,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruella,30,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lost Daughter,31,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Monthly Average Rating,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most Films Watched in a Month,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Overall Rating for 2021,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Movies Per Month,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unique Films Watched in 2021,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Films Watched in 2021,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Star Ratings This Year,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Released This Year,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Must Watches Completed from This Year,29.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies rewatched for the first time on LB,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Watched More Than Once in 2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Rewatched in Previous Years,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Rewatches in 2021,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unique Movies Watched on Letterboxd,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Movies Recorded on Letterboxd,516,,,,,,,,,,,,9,,,8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,,14,,,,,,16,,,,,,,,,,,,,
5,,4.30,10,20,3.65,9,,3.83,4,,4.00,11,16,3.82,11,,3.64,12,,3.33,18,19,3.83,9,12,2.94,5,,3.50,21,4,3.38,23,24,3.39
2022            22 films from the 20s to the 20s,,,I'm busy,,,The Batman,,,2049 returns and EEAAO,,,Multiversal,,,Frat pack and more,,,Top Gun blows my mind,,,Bullet Train ends a W side quest day,,,Depression,16,,Smile after a girls day out/Terrifier guns,,,Thanksgiving throwbacks,,,A 2022 speedrun,,
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
Avatar,1,2.5,Blade Runner,6,5,The Batman,2,5,Kingsman: The Golden Circle,1,3,Demon Slayer - The Movie: Mugen Train,6,4.5,Blood Diamond,5,3.5,Thor: Love and Thunder,8,3,The Gray Man,7,2,,,,To Catch a Thief,2,3.5,Fury,20,2,12 Kilometers,3,1
The General,2,4.5,The Day the Earth Stood Still,8,4,28 Days Later,3,3.5,Blade Runner 2049,3,5,Doctor Strange in the Multiverse of Madness,7,3.5,Mr. & Mrs. Smith,5,4.5,Top Gun: Maverick,14,5,Knives Out,17,4.5,,,,Smile,7,4,Minions: The Rise of Gru,20,2.5,Witness for the Prosecution,10,4
The Invisible Man (2020),3,4,The House That Jack Built,25,2.5,Ted,7,3.5,Fantastic Mr. Fox,5,4.5,The Adam Project,13,3,Starsky & Hutch,12,3.5,Pulp Fiction,15,5,Memories of Murder,22,4.5,,,,Terrifier,31,1,After Hours,21,4.5,21 Jump Street,10,4
Metropolis,3,3.5,,,,The Fighter,8,4,The Outfit,5,3.5,Four Brothers,17,2.5,Mission: Impossible,12,4,Old School,16,2.5,Bullet Train,28,3.5,,,,,,,Network,22,4,The Road,15,3.5
Frankenstein,4,3,,,,The Batman (rewatch),10,5,Everything Everywhere All at Once,19,5,Casino Royale,20,4.5,Anchorman: The Legend of Ron Burgundy,14,3,,,,,,,,,,,,,My Cousin Vinny,30,4,Transformers,18,3.5
M,5,5,,,,Belfast,16,4.5,The Treasure of the Sierra Madre,28,3,Harold & Kumar Go to White Castle,20,3.5,I Now Pronounce You Chuck & Larry,14,2.5,,,,,,,,,,,,,,,,The Northman,20,4
The Great Dictator,6,4.5,,,,Ford v. Ferrari,16,5,,,,Possessor,21,4,The Other Guys,14,3.5,,,,,,,,,,,,,,,,Amsterdam,20,2.5
It's a Wonderful Life,7,5,,,,Jujutsu Kaisen 0,17,4,,,,,,,"Good Morning, Vietnam",20,4,,,,,,,,,,,,,,,,It's a Wonderful Life,21,5
The Searchers,8,4,,,,Primer,27,4.5,,,,,,,Hustle,23,4,,,,,,,,,,,,,,,,Babylon,22,4.5
The Bridge on the River Kwai,9,5,,,,Psych: The Movie,28,4,,,,,,,Top Gun,25,3.5,,,,,,,,,,,,,,,,The Unbearable Weight of Massive Talent,24,3.5
Charade,10,4.5,,,,Psych 2: Lassie Come Home,28,3.5,,,,,,,The Nice Guys,25,5,,,,,,,,,,,,,,,,Wendell & Wild,24,3.5
The Killing,11,4.5,,,,Psych 3: This is Gus,29,4,,,,,,,Spiderhead,25,2.5,,,,,,,,,,,,,,,,Emily the Criminal,24,4
The Graduate,11,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cha Cha Real Smooth,25,5
Rocky,12,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Sr.""",29,5
A Few Good Men,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Exorcist,13,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Hard,14,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarface,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon: The Professional,16,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encanto,16,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyes Wide Shut,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brick,18,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost in Translation,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hunt,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portrait of a Lady on Fire,21,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da 5 Bloods,22,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sound of Metal,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Finale,24,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body of Lies,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Apartment,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Us,29,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Monthly Average Rating,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most Films Watched in a Month,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Overall Rating for 2022,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Movies Per Month,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unique Films Watched in 2022,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Films Watched in 2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Star Ratings This Year,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Released This Year,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Must Watches Completed from This Year,20.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies rewatched for the first time on LB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Watched More Than Once in 2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies Rewatched in Previous Years,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Rewatches in 2022,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unique Movies Watched on Letterboxd,543,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Movies Recorded on Letterboxd,617,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,3.95,3,,3.83,12,16,4.21,6,5,4.00,7,20,3.64,12,14,3.63,4,,3.88,4,,3.63,0,,,3,,2.83,5,20,3.40,14,24,3.79
2023: 23 Films to Start 2023 (chalked it),,,The Menu!,,,An attempt at a John Wick run through,28,,Three mindblowing films,,,Post grad film study,,,SM makes the 5 star count 2 for 2023,25,,IMAX and shit,,,We begin torture with a DC deep dive,,,Finishing off the 2019 Must Watches,,,Midtober,,,Comfort films,,,2023 recap,,
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
Molly's Game,2,2,The Menu,26,3.5,Glass Onion: A Knives Out Mystery,6,3.5,Coherence,9,4,Guardians of the Galaxy Vol. 3,18,4.5,Spider-Man: Across the Spider-Verse,4,5,Mission: Impossible - Dead Reckoning,13,4,Predestination,7,4,Batman (1989),1,3,The Burial,13,2.5,Surf's Up,12,4,The Super Mario Bros. Movie,1,3.5
GdT's Pinocchio,3,4.5,,,,Train to Busan,23,4,Terrifier 2,12,2.5,Superbad,19,4.5,Spider-Man: Into the Spider-Verse,9,5,Oppenheimer,21,4.5,Sound of Freedom,14,4,The Flash,1,2.5,Ocean's Eleven,29,5,Iron Man,13,5,The Killer,1,4
Sunset Boulevard,8,5,,,,John Wick,29,4,Tucker and Dale vs. Evil,17,4,Air,26,4,John Wick: Chapter 4,13,3,Mission: Impossible II,30,1,Man of Steel,22,2.5,The King of Comedy,2,5,,,,Cars,24,5,Bye Bye Barry,3,4
Dracula (1931),13,3,,,,,,,,,,The Meg,31,3.5,,,,,,,Batman v. Superman: Dawn of Justice,23,3,Wildlife,4,5,,,,The Cameraman,30,4,Asteroid City,3,3
Puss in Boots,14,3.5,,,,,,,,,,Oblivion,31,4.5,,,,,,,Mission: Impossible III,23,3.5,Overlord,5,3,,,,,,,Killers of the Flower Moon,4,4
Rush,14,3,,,,,,,,,,,,,,,,,,,Zack Snyder's Justice League,25,3.5,Midnight in Paris,10,3.5,,,,,,,Godzilla Minus One,5,4
White Noise,14,3,,,,,,,,,,,,,,,,,,,Birds of Prey: Harley Quinn,29,3.5,Lady Bird,10,4,,,,,,,Transformers: Rise of the Beasts,8,3
Roman J. Israel Esq,14,4,,,,,,,,,,,,,,,,,,,Strays,30,3,Aquaman,13,2.5,,,,,,,Bottoms,8,4
Dr. Jekyll and Mr. Hyde (1941),14,2.5,,,,,,,,,,,,,,,,,,,,,,Shazam!,14,2.5,,,,,,,Eileen,8,4
Penguins of Madagascar,14,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocaine Bear,9,2
Big Trouble in Little China,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indiana Jones and the Dial of Destiny,9,3
Dr. No,24,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inception,10,5
Shrek,24,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La La Land,10,5
The Invisible Man (1933),26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leave The World Behind,11,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Boy and the Heron,11,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Renfield,12,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saltburn,12,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maestro,13,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast X,13,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Blackening,14,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor Things,14,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Holdovers,15,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's A Wonderful Life,16,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackberry,16,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wonka,16,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interstellar,17,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teenage Mutant Ninja Turtles: Mutant Meyhem ,17,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donnie Brasco,18,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meg 2: The Trench,18,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Archies,20,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Trip to the Moon,22,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Man Who Knew Too Much,25,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantastic Planet,25,3.5
2023 Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Fiction,26,4
Highest Monthly Average Rating,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safety Last!,27,3.5
Most Films Watched in a Month,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot No. 249,27,3
Average Overall Rating,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dredd,27,3
Average Movies Per Month,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Cabinet of Dr. Caligari,28,4.5
Total Unique Films Watched,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrari,28,4
Total Films Watched,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save Ralph,31,5
5 Star Ratings This Year,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,31,5
Movies Released This Year,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Cat Concerto,31,5
Must Watches Completed from This Year,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dear Basketball,31,5
Movies rewatched for the first time on LB,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Great Train Robbery,31,3
Movies Watched More Than Once,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reservoir Dogs (1991 short film),31,3.5
Movies Rewatched in Previous Years,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steamboat Willie,31,4
Total Rewatches,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Big Shave,31,4
Total Unique Movies Watched on Letterboxd,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Movies Recorded on Letterboxd,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,3.43,1,,3.50,3,,3.83,3,,3.50,5,31,4.20,3,,4.33,3,,3.17,8,23,3.38,9,1,3.44,2,,3.75,4,,4.50,47,31,3.72
2024,BR Double Feature,,Mini New Movie Month,,,Duuuuuuuuuune,,,King Kong ain't got nothing on me,,,Eggs men,,,Eggs men cont. + Marvel catch up,,,Throwbacks and must watches,,,Scavenger Hunt 113,,,2 Fast 2 Alien 2 Where is She?!,10,,"Rest, recovery, redrink",,,Once Upon a Time in 2019 MW is done,,,Harry Potter and the Order of Nashville,,
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
North By Northwest,2,5,Air Force One,11,4,The Greatest Night in Pop,2,4,Training Day,26,4.5,X-Men,31,3.5,"Lock, Stock, and Two Smoking Barrels",8,4,Triangle of Sadness,2,4.5,Gladiator,1,5,2001: A Space Odyssey,1,4.5,Chicken Run,1,3.5,Once Upon a Time in America,2,4,Harry Potter and the Philosopher's Stone,10,3.5
Barbie,5,4,Planet of the Apes,12,4.5,Dune: Part Two,3,5,,,,,,,X2,11,3.5,Beverly Hills Cop: Axel F,4,2.5,Willy Wonka and the Chocolate Factory,3,4.5,Paths of Glory,3,4.5,The Devil Wears Prada,14,3,Top Gun: Maverick,11,5,Harry Potter and the Chamber of Secrets,11,3
Blade Runner,6,5,Nope,12,4.5,American Psycho,3,4.5,,,,,,,X-Men: The Last Stand,14,2,The Killing of a Sacred Deer,5,4,Ordinary People,5,4.5,Obsessed,4,1.5,A Shot In The Dark,17,3,,,,Harry Potter and the Prisoner of Azkaban,16,4.5
Blade Runner 2049,6,5,Scoob!,13,2,TENET,6,4.5,,,,,,,X-Men Origins: Wolverine,19,1.5,The Goonies,7,5,Akira,6,4.5,The Wizard of Oz,4,4.5,Terrifier 3,31,2.5,,,,Harry Potter and the Goblet of Fire,19,3
Lawrence of Arabia,10,4.5,,,,Bodies Bodies Bodies,10,2.5,,,,,,,X-Men: First Class,20,4,Vanilla Sky,7,4.5,Speak No Evil (2022),6,2.5,The Cheap Detective,5,2.5,,,,,,,The Next 365 Days,29,0.5
All of Us Strangers,11,4,,,,,,,,,,,,,The Wolverine,20,3.5,Ice Age,8,3.5,Batman Returns,6,2.5,Cape Fear,5,3.5,,,,,,,Project X,30,4
Anatomy of a Fall,12,5,,,,,,,,,,,,,X-Men: Days of Future Past,20,4.5,Shrek 2,8,4,Wallace and Gromit in The Curse of the Were-Rabbit,6,4,Aliens,6,4.5,,,,,,,Transformers,30,3.5
Saltburn,13,4.5,,,,,,,,,,,,,X-Men: Apocalypse,21,1,The Bear (1998),8,4,Spaceballs,7,3,Batman Begins,6,4,,,,,,,,,
The Invitation,26,1,,,,,,,,,,,,,Logan,21,5,Mice Follies,8,4,Sleuth (1972),7,4,The Dark Knight,7,5,,,,,,,,,
,,,,,,,,,,,,,,,The Fall Guy,21,3.5,Blue Cat Blues,8,4,Rosemary's Baby,8,4.5,Spellbound,7,4,,,,,,,,,
,,,,,,,,,,,,,,,Hit Man,22,4,Puttin' on the Dog,8,3,On Her Majesty's Secret Service,12,1.5,The Last Samurai,7,4,,,,,,,,,
,,,,,,,,,,,,,,,Werewolf By Night,22,4,Mouse Trouble,8,5,Bride of Frankenstein,13,4,Alien 3,9,1.5,,,,,,,,,
